domain_name,target_series,stage_order,forecast_stage,selected_model,interval_method,is_primary,n,covered,violations,coverage,coverage_gap_from_080,wilson_95_low,wilson_95_high,lr_uc,p_uc,n00,n01,n10,n11,lr_ind,p_ind,lr_cc,p_cc,average_interval_width,average_half_width,mean_interval_score,median_interval_score,lower_miss_rate,upper_miss_rate,minimum_calibration_count,maximum_calibration_count
GDP,GDPC1,1,early_quarter,Dynamic Factor Model,rolling_q80,1,12,12,0,1.0,0.19999999999999996,0.7575059933447592,1.0,5.355445231541033,0.02065765913562206,11,0,0,0,0.0,1.0,5.355445231541033,0.06871947673600004,8.811038245923818,4.405519122961909,8.811038245923818,9.19618475288031,0.0,0.0,20,20
GDP,GDPC1,1,early_quarter,Dynamic Factor Model,gaussian_rmse,0,12,12,0,1.0,0.19999999999999996,0.7575059933447592,1.0,5.355445231541033,0.02065765913562206,11,0,0,0,0.0,1.0,5.355445231541033,0.06871947673600004,21.05281058858561,10.526405294292806,21.05281058858561,23.495561885720683,0.0,0.0,20,20
GDP,GDPC1,2,after_month_1,Dynamic Factor Model,rolling_q80,1,12,12,0,1.0,0.19999999999999996,0.7575059933447592,1.0,5.355445231541033,0.02065765913562206,11,0,0,0,0.0,1.0,5.355445231541033,0.06871947673600004,9.916370536150215,4.958185268075106,9.916370536150215,10.576878839962498,0.0,0.0,20,20
GDP,GDPC1,2,after_month_1,Dynamic Factor Model,gaussian_rmse,0,12,12,0,1.0,0.19999999999999996,0.7575059933447592,1.0,5.355445231541033,0.02065765913562206,11,0,0,0,0.0,1.0,5.355445231541033,0.06871947673600004,14.91870641642875,7.459353208214375,14.91870641642875,17.071301284287635,0.0,0.0,20,20
GDP,GDPC1,3,after_month_2,Bridge–DFM Ensemble,rolling_q80,1,12,12,0,1.0,0.19999999999999996,0.7575059933447592,1.0,5.355445231541033,0.02065765913562206,11,0,0,0,0.0,1.0,5.355445231541033,0.06871947673600004,10.965344642349216,5.482672321174608,10.965344642349216,11.932951575977157,0.0,0.0,20,20
GDP,GDPC1,3,after_month_2,Bridge–DFM Ensemble,gaussian_rmse,0,12,12,0,1.0,0.19999999999999996,0.7575059933447592,1.0,5.355445231541033,0.02065765913562206,11,0,0,0,0.0,1.0,5.355445231541033,0.06871947673600004,9.321772842876136,4.660886421438068,9.321772842876136,9.8346541272067,0.0,0.0,20,20
GDP,GDPC1,4,quarter_end,Rolling Bridge–DFM Ensemble,rolling_q80,1,12,12,0,1.0,0.19999999999999996,0.7575059933447592,1.0,5.355445231541033,0.02065765913562206,11,0,0,0,0.0,1.0,5.355445231541033,0.06871947673600004,10.21215362924624,5.10607681462312,10.21215362924624,10.95481567740002,0.0,0.0,20,20
GDP,GDPC1,4,quarter_end,Rolling Bridge–DFM Ensemble,gaussian_rmse,0,12,12,0,1.0,0.19999999999999996,0.7575059933447592,1.0,5.355445231541033,0.02065765913562206,11,0,0,0,0.0,1.0,5.355445231541033,0.06871947673600004,9.065802358523245,4.532901179261622,9.065802358523245,9.586453139092324,0.0,0.0,20,20
GDP,GDPC1,5,pre_advance_release,Dynamic Factor Model,rolling_q80,1,12,12,0,1.0,0.19999999999999996,0.7575059933447592,1.0,5.355445231541033,0.02065765913562206,11,0,0,0,0.0,1.0,5.355445231541033,0.06871947673600004,11.483066279474151,5.741533139737076,11.483066279474151,12.960486686954617,0.0,0.0,20,20
GDP,GDPC1,5,pre_advance_release,Dynamic Factor Model,gaussian_rmse,0,12,12,0,1.0,0.19999999999999996,0.7575059933447592,1.0,5.355445231541033,0.02065765913562206,11,0,0,0,0.0,1.0,5.355445231541033,0.06871947673600004,9.549872552880247,4.7749362764401235,9.549872552880247,10.3703753970907,0.0,0.0,20,20
