domain_name,target_series,periods,observed_periods,incomplete_periods_excluded,mean_stageavg_delta_sq,median_stageavg_delta_sq,stageavg_sq_lv_win_share,hac_bw_sq,hac_se_sq,hac_z_sq,hac_p_sq,mean_stageavg_delta_abs,median_stageavg_delta_abs,stageavg_abs_lv_win_share,hac_bw_abs,hac_se_abs,hac_z_abs,hac_p_abs,mean_forecast_revision
GDP,GDPC1,12,12,0,-0.27630718819602917,-0.028893261251622046,0.58333333333333337,2,0.16876719467632936,-1.6372091076464574,0.10158678468131876,-0.02163360461825288,-0.040025826786004942,0.58333333333333337,2,0.047566987270152641,-0.45480291815385893,0.6492510306781345,-0.055889127356371388
Inflation,CPIAUCSL,39,40,1,-0.3270787234502513,0.074219353254164178,0.46153846153846156,3,0.39759056309487384,-0.82265212962864798,0.41070584501363694,0.038929074651881182,0.039734410713132995,0.48717948717948717,3,0.055558131696574496,0.70069085232182859,0.48349596607602496,0.092955369228886031
Inflation,CPILFESL,39,40,1,-0.10323527849166439,-0.043670901518936378,0.61538461538461542,3,0.075708183418872949,-1.3635947110300013,0.17269515762947174,-0.037828705429298885,-0.071616646644762305,0.61538461538461542,3,0.020332940808073918,-1.860464051234421,0.062819899956182201,0.016289788732632687
Inflation,PCEPI,38,40,2,0.23266651011562753,0.14602836734071292,0.28947368421052633,3,0.1910991735502654,1.217517092267427,0.22340753728448437,0.07303026827189063,0.11017303313679849,0.31578947368421051,3,0.039822752992500009,1.833882963481825,0.066671369004525971,0.16946941369057647
Inflation,PCEPILFE,38,40,2,0.13567097148045157,0.054778686605012783,0.36842105263157893,3,0.1142512237087986,1.1874793728796045,0.23503858811972922,0.06775988059734224,0.026432693897200626,0.39473684210526316,3,0.034372190869873157,1.9713576261073606,0.048682984253219708,0.15986241791775876
Labour,CES0500000003,41,41,0,-0.17485081494741531,-0.0015508221878198323,0.51219512195121952,3,0.16357698624709099,-1.0689206285002382,0.28510543584404546,-0.059109788882918964,-0.022139844141791532,0.58536585365853655,3,0.053538444584499252,-1.1040624982973966,0.26956602761382009,0.058523098268100808
Labour,PAYEMS,41,41,0,-2311.9635410368187,-2548.9928056044928,0.58536585365853655,3,3103.8581088628603,-0.7448676646767971,0.45635172451081552,-10.297447687484569,-12.805918212281972,0.56097560975609762,3,7.7009212518152355,-1.3371708852440594,0.18116686315204777,-53.330171428292623
Labour,UNRATE,40,40,0,-0.017638390201892774,-0.012091510830620471,0.82499999999999996,3,0.0033551474326504243,-5.2571133030536288,1.4633416367537677e-07,-0.029380070169944105,-0.033788654314596746,0.82499999999999996,3,0.0062054100702974091,-4.7345896301960257,2.1949875614879488e-06,0.034858108843016579
