domain_name,target_series,target_period,expected_stage_count,observed_stage_count,present_stages,missing_stages,complete_stage_set,primary_stage_cell_included,secondary_target_summary_included
Labour,UNRATE,2024-12,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2025-01,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2025-02,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2025-03,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2025-04,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2025-05,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2025-06,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2025-07,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2025-08,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2025-09,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2025-11,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2025-12,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2026-01,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2026-02,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2026-03,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2026-04,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2026-05,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2026-06,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
