domain_name,target_series,target_period,expected_stage_count,observed_stage_count,present_stages,missing_stages,complete_stage_set,primary_stage_cell_included,secondary_target_summary_included
Inflation,CPILFESL,2023-12,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2024-01,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2024-02,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2024-03,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2024-04,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2024-05,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2024-06,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2024-07,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2024-08,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2024-09,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2024-10,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2024-11,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2024-12,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2025-01,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2025-02,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2025-03,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2025-04,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2025-05,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2025-06,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2025-07,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2025-08,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2025-09,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2025-11,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2025-12,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2026-01,4,3,mid_month|month_end|pre_release,month_open,0,1,0
Inflation,CPILFESL,2026-02,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2026-03,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2026-04,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2026-05,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPILFESL,2026-06,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2023-02,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2023-03,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2023-04,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2023-05,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2023-06,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2023-07,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2023-08,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2023-09,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2023-10,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2023-11,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2023-12,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2024-01,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2024-02,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2024-03,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2024-04,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2024-05,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2024-06,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2024-07,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2024-08,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2024-09,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2024-10,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2024-11,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2024-12,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2025-01,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2025-02,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2025-03,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2025-04,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2025-05,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2025-06,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2025-07,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2025-08,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2025-09,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2025-10,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2025-11,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2025-12,4,3,mid_month|month_end|pre_release,month_open,0,1,0
Inflation,PCEPI,2026-01,4,2,month_end|pre_release,month_open|mid_month,0,1,0
Inflation,PCEPI,2026-02,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2026-03,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2026-04,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPI,2026-05,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2023-02,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2023-03,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2023-04,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2023-05,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2023-06,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2023-07,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2023-08,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2023-09,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2023-10,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2023-11,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2023-12,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2024-01,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2024-02,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2024-03,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2024-04,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2024-05,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2024-06,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2024-07,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2024-08,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2024-09,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2024-10,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2024-11,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2024-12,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2025-01,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2025-02,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2025-03,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2025-04,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2025-05,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2025-06,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2025-07,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2025-08,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2025-09,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2025-10,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2025-11,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2025-12,4,3,mid_month|month_end|pre_release,month_open,0,1,0
Inflation,PCEPILFE,2026-01,4,2,month_end|pre_release,month_open|mid_month,0,1,0
Inflation,PCEPILFE,2026-02,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2026-03,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2026-04,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,PCEPILFE,2026-05,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Labour,CES0500000003,2023-02,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2023-03,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2023-04,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2023-05,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2023-06,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2023-07,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2023-08,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2023-09,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2023-10,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2023-11,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2023-12,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2024-01,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2024-02,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2024-03,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2024-04,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2024-05,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2024-06,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2024-07,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2024-08,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2024-09,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2024-10,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2024-11,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2024-12,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2025-01,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2025-02,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2025-03,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2025-04,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2025-05,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2025-06,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2025-07,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2025-08,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2025-09,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2025-10,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2025-11,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2025-12,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2026-01,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2026-02,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2026-03,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2026-04,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2026-05,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,CES0500000003,2026-06,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2023-02,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2023-03,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2023-04,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2023-05,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2023-06,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2023-07,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2023-08,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2023-09,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2023-10,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2023-11,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2023-12,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2024-01,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2024-02,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2024-03,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2024-04,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2024-05,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2024-06,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2024-07,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2024-08,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2024-09,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2024-10,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2024-11,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2024-12,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2025-01,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2025-02,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2025-03,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2025-04,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2025-05,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2025-06,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2025-07,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2025-08,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2025-09,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2025-10,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2025-11,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2025-12,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2026-01,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2026-02,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2026-03,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2026-04,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2026-05,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,PAYEMS,2026-06,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2023-02,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2023-03,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2023-04,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2023-05,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2023-06,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2023-07,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2023-08,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2023-09,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2023-10,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2023-11,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2023-12,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2024-01,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2024-02,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2024-03,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2024-04,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2024-05,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2024-06,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2024-07,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2024-08,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2024-09,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2024-10,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
Labour,UNRATE,2024-11,5,5,month_open|after_week_1|after_week_2|month_end|pre_employment_report,,1,1,1
