domain_name,target_series,stage_order,forecast_stage,selected_model,n,mean_delta_squared_error,median_delta_squared_error,squared_error_lv_win_share,hac_bw_sq,hac_se_sq,hac_z_sq,hac_p_sq,mean_delta_abs_error,median_delta_abs_error,abs_error_lv_win_share,hac_bw_abs,hac_se_abs,hac_z_abs,hac_p_abs,mean_forecast_revision,mean_raw_changed_rows,fallback_rows_total,sq_latest_better,abs_latest_better
GDP,GDPC1,1,early_quarter,Dynamic Factor Model,12,-0.0225873758771678,-0.024939621189595699,0.58333333333333326,2,0.039619403969579303,-0.57010892679029057,0.56860382094037665,0.0045038732289019003,-0.0342874827341332,0.58333333333333326,2,0.022428652325564201,0.2008089101175462,0.84084799557954948,-0.082004340614258597,1237.6666666666667,0,1,0
GDP,GDPC1,2,after_month_1,Dynamic Factor Model,12,-0.2282904794352876,-0.0014200283563202,0.5,2,0.19130698953373901,-1.1933201185784494,0.23274402620217621,-0.0017974056152246,-0.00064983451832049998,0.5,2,0.051406990065249597,-0.034964225933929498,0.97210826698974395,-0.0593204984335087,1167.5,0,1,1
GDP,GDPC1,3,after_month_2,Bridge–DFM Ensemble,12,-0.58553763742703635,-0.017018612758038901,0.5,2,0.32143451840676351,-1.8216389463376177,0.068509787402327896,-0.10010435559496909,-0.033013637048013598,0.5,2,0.1212283264230017,-0.82575053660045772,0.40894561815152453,-0.0517026674492971,1128.9166666666667,0,1,1
GDP,GDPC1,4,quarter_end,Rolling Bridge–DFM Ensemble,12,-0.3442796980428689,0.0070563232934175001,0.5,2,0.2222039771331713,-1.5493858502655653,0.1212889931696516,-0.017502544512535301,-0.0032511392516803,0.5,2,0.056749209029653198,-0.30841917996407259,0.75776338933937748,0.0049854643356617,1117.5,0,1,1
GDP,GDPC1,5,pre_advance_release,Dynamic Factor Model,12,-0.2008407501977853,-0.014259821832488201,0.5,2,0.21234220884747629,-0.94583526887039004,0.34423261364836932,0.0067324094025627999,-0.020097134821,0.5,2,0.042019876774993102,0.16021963697355279,0.87270806114872235,-0.091403594620454207,1022.8333333333334,0,1,0
Inflation,CPIAUCSL,1,month_open,Inflation Ridge-AR Ensemble,39,-0.6891203995666686,-0.1424547131545893,0.64102564102564097,3,0.47656833434131501,-1.4460054307198793,0.14817567860785449,-0.085748207987922306,-0.073201309185060695,0.64102564102564097,3,0.073397237358284101,-1.1682756882162713,0.24269557869649169,0.051595324833600999,599.9487179487179,0,1,1
Inflation,CPIAUCSL,2,mid_month,Inflation Bridge Ridge,40,-0.19911957195626501,0.098825645134980003,0.47499999999999992,3,0.40492594628105649,-0.49174317868496709,0.6229009097523317,0.0564707701904337,0.079892496775751706,0.47499999999999992,3,0.058975995350083202,0.95752127378642182,0.33830421396042298,0.1116862548771017,584.75,1,1,0
Inflation,CPIAUCSL,3,month_end,Inflation Bridge Ridge,40,-0.14540283252878231,0.2099903612124267,0.42499999999999988,3,0.40326398647294293,-0.36056488406146858,0.71842474425333736,0.1138377178435549,0.105990356822625,0.42499999999999988,3,0.065689663523411906,1.7329624135307524,0.083102349613640006,0.1016372084675877,561.10000000000002,0,1,0
Inflation,CPIAUCSL,4,pre_release,Inflation Bridge Ridge,40,-0.180607869905064,0.042773559173538901,0.45000000000000001,3,0.40574474642746827,-0.44512682294790912,0.65622810568730805,0.083555737527799198,0.035728740545842401,0.45000000000000001,3,0.070707873187056902,1.1817034477441206,0.23732338983388951,0.1173333665664321,556.875,0,1,0
Inflation,CPILFESL,1,month_open,Inflation 12-Month Mean,39,-0.0046336613479614,-0.0014372754084036,0.58974358974358965,3,0.0048221301666876003,-0.96091585830091919,0.33659447645658952,-0.0049375541238760997,-0.0037768019685912998,0.58974358974358965,3,0.0022080710231152999,-2.2361391785803093,0.025342655779966,-0.0019461818249684,599.9487179487179,0,1,1
Inflation,CPILFESL,2,mid_month,Inflation Ridge-AR Ensemble,40,-0.1335936584071471,-0.060320091222384999,0.59999999999999987,3,0.098329352878359103,-1.3586345734667116,0.17426241385217281,-0.050481243815996203,-0.098700256408266102,0.59999999999999987,3,0.026194580418086599,-1.9271636731825776,0.053959235581395301,0.018403111954840901,584.75,1,1,1
Inflation,CPILFESL,3,month_end,Inflation Ridge-AR Ensemble,40,-0.1232107984464109,-0.065342435792353895,0.59999999999999987,3,0.099909537118766795,-1.2332235940593419,0.2174923549840008,-0.040964230663868201,-0.093347263935788793,0.59999999999999987,3,0.027361973763933501,-1.4971226497506598,0.1343613472371443,0.018938901899426701,561.10000000000002,0,1,1
Inflation,CPILFESL,4,pre_release,Inflation Ridge-AR Ensemble,40,-0.13855255493078231,-0.067894947960478597,0.65000000000000002,3,0.0974485066762934,-1.4218027515909419,0.15508352059049649,-0.049376674063002099,-0.093331665152335,0.65000000000000002,3,0.0271500466826812,-1.8186589010360401,0.068963485608217495,0.0261900021217241,556.875,0,1,1
Inflation,PCEPI,1,month_open,Inflation Ridge-AR Ensemble,38,-0.014373161241491799,0.010055730567455101,0.47368421052631571,3,0.22673859526879081,-0.063390889515095195,0.94945524177557661,-0.00051005374763060001,0.028960128395031801,0.47368421052631571,3,0.056889093743389497,-0.0089657562472582001,0.99284645735385035,0.15542770004773521,615.26315789473688,0,1,1
Inflation,PCEPI,2,mid_month,Inflation Bridge Ridge,39,0.32410294616586771,0.1303184035850653,0.38461538461538458,3,0.20517266111484531,1.5796595141126095,0.11418486198870779,0.079714280009828095,0.087621849961517506,0.38461538461538458,3,0.043963243015800901,1.8132029063728961,0.069800531748686695,0.19980331345529831,599.07692307692309,1,0,0
Inflation,PCEPI,3,month_end,Inflation Bridge Ridge,40,0.36394244538797832,0.16236528929496499,0.375,3,0.1984584551831389,1.8338470137345848,0.0666767067336375,0.1047119297390422,0.10010803503982039,0.375,3,0.050433215111070802,2.0762493429861943,0.037870895796276997,0.215003108548455,570.02499999999998,0,0,0
Inflation,PCEPI,4,pre_release,Inflation Bridge Ridge,40,0.16634156976005879,0.1023723252611074,0.40000000000000002,3,0.18714226244842211,0.88885090723910576,0.37408321242999237,0.054521263878881801,0.073945325584579794,0.40000000000000002,3,0.040873570246793403,1.3339002086111873,0.18223656320300291,0.1401156830643554,553.875,0,0,0
Inflation,PCEPILFE,1,month_open,Inflation Bridge Ridge,38,0.12296585813243981,0.084089246065730899,0.39473684210526311,3,0.12603406478415391,0.97565573516200776,0.32923509474373119,0.070832353367734802,0.068687322838360404,0.39473684210526311,3,0.046501894913277698,1.5232143442720203,0.12770508852246421,0.1529679391176986,615.26315789473688,0,0,0
Inflation,PCEPILFE,2,mid_month,Inflation Ridge-AR Ensemble,39,0.1161373839288606,-0.0059006185307938002,0.53846153846153844,3,0.14772643185608231,0.7861652276418869,0.4317706946023338,0.0347320136637689,-0.0096869662797818001,0.53846153846153844,3,0.047379489057149997,0.73306011430124418,0.46352176559505093,0.18237967234255931,599.07692307692309,1,0,0
Inflation,PCEPILFE,3,month_end,Inflation Bridge Ridge,40,0.13279286588774181,0.040011207123054102,0.45000000000000001,3,0.1051230228373935,1.2632139212087601,0.2065123111665581,0.080823037715173796,0.079056300276084596,0.45000000000000001,3,0.031125947371951901,2.5966450675170347,0.0094139144216608996,0.17059038340898761,570.02499999999998,0,0,0
Inflation,PCEPILFE,4,pre_release,Inflation Bridge Ridge,40,0.097051764860337203,0.0074831267690781004,0.5,3,0.098835701547060298,0.98195048288422704,0.32612424348372299,0.058132187962056797,0.0074161987247395996,0.5,3,0.031361375965331097,1.8536236428631183,0.063793022684865502,0.1311249535538335,553.875,0,0,0
Labour,CES0500000003,1,month_open,Labour Bridge Ridge,41,0.13675392340971779,-0.022553294330287899,0.53658536585365846,3,0.23228835979171811,0.58872482259695902,0.5560458835488884,0.013761412044971401,-0.041061582322335199,0.53658536585365846,3,0.074981968275851199,0.1835296186723798,0.85438248110097648,0.0992033080889453,1476.9268292682927,0,0,0
Labour,CES0500000003,2,after_week_1,Labour Bridge Ridge,41,-0.20576045755899899,-0.14401344256304721,0.56097560975609762,3,0.21856982608891529,-0.94139461626919441,0.34650267152001318,-0.046319103496494998,-0.085195199762670898,0.56097560975609762,3,0.082390908743436603,-0.5621870689730063,0.5739885707240342,0.070333928715701599,1463.0731707317073,0,1,1
Labour,CES0500000003,3,after_week_2,Labour Bridge Ridge,41,-0.4577266706157736,-0.20613297120427021,0.58536585365853655,3,0.25310048552686892,-1.8084780424776452,0.070532131216971897,-0.16149486060976001,-0.1601740121671113,0.58536585365853655,3,0.087952216791106402,-1.8361658921380375,0.066333125443026997,0.088587144726871805,1450.2439024390244,0,1,1
Labour,CES0500000003,4,month_end,Labour Equal-Weight Ensemble,41,-0.16153980557878631,-0.068807521151698303,0.65853658536585358,3,0.095364444712654595,-1.6939206856971345,0.090280355611859403,-0.046381042470585998,-0.0549712328462863,0.65853658536585358,3,0.0292265326736551,-1.5869498783341456,0.1125239968900491,0.024370886183102802,1429.9756097560976,0,1,1
Labour,CES0500000003,5,pre_employment_report,Labour Equal-Weight Ensemble,41,-0.1859810643932355,-0.058515163871105398,0.65853658536585358,3,0.095395180113319197,-1.9495855469040464,0.051225537429601301,-0.055115349882725102,-0.062395022036142597,0.65853658536585358,3,0.032341402832539397,-1.7041731358440713,0.088348746438757703,0.0101202236258823,1417.6341463414635,0,1,1
Labour,PAYEMS,1,month_open,Labour 12-Month Mean,41,-1458.0464092140917,-243.72222222222169,0.56097560975609762,3,1192.5144295598354,-1.2226656324420877,0.2214560126439015,-3.4146341463414607,-6.8333333333333135,0.56097560975609762,3,6.8195444842548332,-0.50071293679882423,0.61657316630346215,-42.369918699186982,1476.9268292682927,0,1,1
Labour,PAYEMS,2,after_week_1,Labour Bridge Ridge,41,-7875.9053151789476,-3182.8482559395597,0.6097560975609756,3,4547.8661565168295,-1.7317803655882062,0.083312675297704405,-24.014428485105078,-28.324926697822946,0.6097560975609756,3,9.9051764542665914,-2.4244321740236154,0.0153323470873263,-62.25992886051278,1463.0731707317073,0,1,1
Labour,PAYEMS,3,after_week_2,Labour Factor Ridge,41,8794.0017932508254,8862.9043686914592,0.3658536585365853,3,6239.3920811975731,1.4094324701522729,0.1587073284807258,20.089637848311902,17.850431487261403,0.3658536585365853,3,15.328730168791369,1.3105872193649506,0.18999725948271171,-41.387327202226935,1450.2439024390244,0,0,0
Labour,PAYEMS,4,month_end,Labour Bridge Ridge,41,-5568.73330924532,-2045.0174039103149,0.56097560975609762,3,4855.7253474879626,-1.1468386102451658,0.25144832852798199,-21.010051152676507,-17.905536761063154,0.56097560975609762,3,10.989064140640885,-1.9119054073926989,0.055888327992096302,-62.144048353371979,1429.9756097560976,0,1,1
Labour,PAYEMS,5,pre_employment_report,Labour Bridge Ridge,41,-5451.1344647965598,-4854.5157520569082,0.63414634146341464,3,4696.8796706212388,-1.1605863567025465,0.24581015639126039,-23.137762501611689,-19.559740274260548,0.63414634146341464,3,11.941919539832144,-1.9375245683439692,0.052681253143623097,-58.489634026164445,1417.6341463414635,0,1,1
Labour,UNRATE,1,month_open,Labour AR(1),40,-0.0001985810039273,-6.9498439536907253e-07,0.57499999999999984,3,0.0021688232219164,-0.091561636707240004,0.92704633283763405,0.00030073609625539999,-6.8174851707070161e-05,0.57499999999999984,3,0.0070955213072527003,0.0423839325164269,0.96619263683371237,0.0125174671935896,1480.25,0,1,0
Labour,UNRATE,2,after_week_1,Labour Equal-Weight Ensemble,40,-0.022868121568459,-0.0197175336622387,0.80000000000000004,3,0.0044789886572816004,-5.1056440009692254,3.2966982432824921e-07,-0.038121548054149898,-0.037562081082818902,0.80000000000000004,3,0.0088316937178917008,-4.3164481550034912,1.5855990062263459e-05,0.038704508705389197,1466.05,0,1,1
Labour,UNRATE,3,after_week_2,Labour Equal-Weight Ensemble,40,-0.0239115502905024,-0.022599013860493702,0.80000000000000004,3,0.0045516030041309998,-5.2534349478195725,1.4928841984840346e-07,-0.040373634943063501,-0.044639014712964199,0.80000000000000004,3,0.0090919469444649993,-4.4405928883738319,8.9711370692135972e-06,0.043468310718741798,1452.9000000000001,0,1,1
Labour,UNRATE,4,month_end,Labour Equal-Weight Ensemble,40,-0.0214876054684182,-0.021025344704267899,0.77500000000000002,3,0.0043124437456412996,-4.9826981488480158,6.2703726300128448e-07,-0.036138162919889902,-0.043901741281899297,0.77500000000000002,3,0.0085389332443486995,-4.2321636539092458,2.3145389054235466e-05,0.039646455662068703,1432.125,0,1,1
Labour,UNRATE,5,pre_employment_report,Labour Equal-Weight Ensemble,40,-0.019726092678156702,-0.015723388581742201,0.80000000000000004,3,0.0043324811035029996,-4.553070678648111,5.2868501094760489e-06,-0.032567741028872402,-0.037695187311943303,0.80000000000000004,3,0.0084835453610152996,-3.8389304993325082,0.00012357140001959999,0.039953801935293298,1430.9749999999999,0,1,1
