domain_name,target_series,stage_order,forecast_stage,selected_model,variant,n,mean_score_diff_variant_minus_primary,median_score_diff_variant_minus_primary,hac_bw_score,hac_se_score,hac_z_score,hac_p_score_two_sided
GDP,GDPC1,1,early_quarter,Dynamic Factor Model,short_window,12,-1.8257808809380867,-2.4354836158516342,2,1.0212365151092075,-1.7878139431225135,0.073806030576939019
GDP,GDPC1,1,early_quarter,Dynamic Factor Model,long_window,12,-2.0503371088951425,-2.4354836158516342,2,0.30873814836228974,-6.6410228854814797,3.1151525803352342e-11
GDP,GDPC1,2,after_month_1,Dynamic Factor Model,short_window,12,-2.4504101936350589,-3.1701306731634222,2,0.57309006375399552,-4.2757855154280273,1.9046452849558193e-05
GDP,GDPC1,2,after_month_1,Dynamic Factor Model,long_window,12,-2.509622369351137,-3.1701306731634222,2,0.45379643870096487,-5.5302822043627486,3.1971602476588146e-08
GDP,GDPC1,3,after_month_2,Bridge–DFM Ensemble,short_window,12,-3.0156933647278801,-2.9541848328056588,2,0.83013193643679195,-3.6327880332760834,0.00028037533002933657
GDP,GDPC1,3,after_month_2,Bridge–DFM Ensemble,long_window,12,-1.9865778991777183,-2.9541848328056588,2,0.69205246106210239,-2.8705596915714886,0.00409745826877983
GDP,GDPC1,4,quarter_end,Rolling Bridge–DFM Ensemble,short_window,12,-2.065242622020993,-2.6969386806290068,2,0.63034813332377992,-3.2763524040772811,0.0010515725990816183
GDP,GDPC1,4,quarter_end,Rolling Bridge–DFM Ensemble,long_window,12,-3.6553356334050129,-4.3979976815587918,2,0.54693615098588466,-6.6832949820853038,2.3362867196397019e-11
GDP,GDPC1,5,pre_advance_release,Dynamic Factor Model,short_window,12,-3.8624545194281716,-4.4767907887904101,2,0.59418827955736264,-6.5003882646515452,8.0113027323136521e-11
GDP,GDPC1,5,pre_advance_release,Dynamic Factor Model,long_window,12,-3.316405689451972,-4.7938260969324382,2,0.97881519248779048,-3.3881837091462392,0.00070357123028985669
Inflation,CPIAUCSL,1,month_open,Inflation Ridge-AR Ensemble,short_memory,39,-0.12907388807400486,-0.27352301096420462,3,0.11660487404528555,-1.1069339007550982,0.2683225074982285
Inflation,CPIAUCSL,1,month_open,Inflation Ridge-AR Ensemble,long_memory,39,-0.025723782200408378,0,3,0.12557258979923175,-0.20485188878827881,0.83768784517173933
Inflation,CPIAUCSL,2,mid_month,Inflation Bridge Ridge,short_memory,40,-0.28879732055382695,-1.7763568394002505e-15,3,0.2363142944410401,-1.2220899342417106,0.22167361916814721
Inflation,CPIAUCSL,2,mid_month,Inflation Bridge Ridge,long_memory,40,0.059250615030254264,0,3,0.15760260777608318,0.37594945836451943,0.70695447059341476
Inflation,CPIAUCSL,3,month_end,Inflation Bridge Ridge,short_memory,40,-0.20376351988268926,-8.8817841970012523e-16,3,0.19093907058523735,-1.0671651394245523,0.28589727131941389
Inflation,CPIAUCSL,3,month_end,Inflation Bridge Ridge,long_memory,40,0.13082636226679129,0,3,0.13492023981411769,0.96965705402713021,0.33221746379913775
Inflation,CPIAUCSL,4,pre_release,Inflation Bridge Ridge,short_memory,40,-0.24835200331826149,0,3,0.19538615487996439,-1.2710829151166658,0.20369915268043481
Inflation,CPIAUCSL,4,pre_release,Inflation Bridge Ridge,long_memory,40,0.26008243142902981,0,3,0.14873742186589006,1.7486011802970109,0.08035998214941209
Inflation,CPILFESL,1,month_open,Inflation 12-Month Mean,short_memory,39,-0.093957770088497261,-0.10620018892399941,3,0.092566248592818673,-1.0150327091875531,0.31009023585433582
Inflation,CPILFESL,1,month_open,Inflation 12-Month Mean,long_memory,39,0.035814981922230871,0,3,0.066716985323311093,0.5368195482555328,0.59139226731732442
Inflation,CPILFESL,2,mid_month,Inflation Ridge-AR Ensemble,short_memory,40,-0.1133362313611582,-0.19599145078884472,3,0.095287263151470403,-1.189416377517285,0.23427585927059758
Inflation,CPILFESL,2,mid_month,Inflation Ridge-AR Ensemble,long_memory,40,0.068636982671760563,0.032319590330688541,3,0.061457149270586556,1.1168266586782651,0.26406844801679474
Inflation,CPILFESL,3,month_end,Inflation Ridge-AR Ensemble,short_memory,40,-0.11405411103420893,-0.18880265754973569,3,0.10727499907372855,-1.0631937731905381,0.28769408563778898
Inflation,CPILFESL,3,month_end,Inflation Ridge-AR Ensemble,long_memory,40,0.056523204053557694,0.020596596947890511,3,0.063358933376925039,0.89211104166319699,0.37233341714402091
Inflation,CPILFESL,4,pre_release,Inflation Ridge-AR Ensemble,short_memory,40,-0.14066630079706299,-0.24302790937043106,3,0.11320930219803567,-1.242533061028829,0.21403995019373978
Inflation,CPILFESL,4,pre_release,Inflation Ridge-AR Ensemble,long_memory,40,0.03057367931544256,0.040088823895233716,3,0.087853704102175537,0.34800671898688285,0.72783513750943851
Inflation,PCEPI,1,month_open,Inflation Ridge-AR Ensemble,short_memory,38,0.02386511008139592,-0.017165888598044798,3,0.10353062650237485,0.2305125631674651,0.81769350232498605
Inflation,PCEPI,1,month_open,Inflation Ridge-AR Ensemble,long_memory,38,0.03086293160521841,0,3,0.029747418762731202,1.0374994836151892,0.29950313624660541
Inflation,PCEPI,2,mid_month,Inflation Bridge Ridge,short_memory,39,-0.04021484278477612,0,3,0.12293218519574724,-0.32713030131809068,0.74356933438505735
Inflation,PCEPI,2,mid_month,Inflation Bridge Ridge,long_memory,39,-0.11166165628417642,0,3,0.10729994015825188,-1.0406497535738757,0.29803813103608201
Inflation,PCEPI,3,month_end,Inflation Bridge Ridge,short_memory,40,0.14949814926794519,0,3,0.20584158625544113,0.72627767783728603,0.46766856081618524
Inflation,PCEPI,3,month_end,Inflation Bridge Ridge,long_memory,40,-0.010533264151868994,0,3,0.10065920297950007,-0.10464283284673101,0.91665922556605062
Inflation,PCEPI,4,pre_release,Inflation Bridge Ridge,short_memory,40,0.071010909408224493,-0.01088701144133708,3,0.12873990634387955,0.55158428668221904,0.58123320455623428
Inflation,PCEPI,4,pre_release,Inflation Bridge Ridge,long_memory,40,0.01347617981351279,0,3,0.072993624197338514,0.18462132770774461,0.85352605641710277
Inflation,PCEPILFE,1,month_open,Inflation Bridge Ridge,short_memory,38,-0.0086249365415595677,0,3,0.086918759280963862,-0.099229862608594802,0.92095576492867059
Inflation,PCEPILFE,1,month_open,Inflation Bridge Ridge,long_memory,38,0.082842975425079124,0,3,0.060356590594434226,1.3725588972005067,0.16988951723044554
Inflation,PCEPILFE,2,mid_month,Inflation Ridge-AR Ensemble,short_memory,39,-0.0072595123670204193,0,3,0.074656737433962464,-0.097238542917065102,0.92253696023647391
Inflation,PCEPILFE,2,mid_month,Inflation Ridge-AR Ensemble,long_memory,39,0.02715931937351318,0,3,0.030284339081306792,0.89681070141885477,0.3698199366297874
Inflation,PCEPILFE,3,month_end,Inflation Bridge Ridge,short_memory,40,-0.025387697645476891,0,3,0.062995007102279052,-0.40301126729388698,0.6869399356842556
Inflation,PCEPILFE,3,month_end,Inflation Bridge Ridge,long_memory,40,-0.0065530124939831239,0,3,0.080361812102202834,-0.081543861724386088,0.93500944438507605
Inflation,PCEPILFE,4,pre_release,Inflation Bridge Ridge,short_memory,40,-0.0089734005020789213,-0.021596033691985816,3,0.070534247195452385,-0.12722047599392924,0.89876589955914077
Inflation,PCEPILFE,4,pre_release,Inflation Bridge Ridge,long_memory,40,-0.035959703017432329,0,3,0.075123906869464227,-0.4786718970821916,0.63217206140779458
Labour,CES0500000003,1,month_open,Labour Bridge Ridge,short_memory,41,0.15719531586802932,0,3,0.38647309844200345,0.40674322870526786,0.68419658702613528
Labour,CES0500000003,1,month_open,Labour Bridge Ridge,long_memory,41,0.11745702363471301,0.23292893333895925,3,0.17313862030680824,0.67839875024171203,0.49751890129404819
