domain_name,target_series,transition_order,earlier_stage,later_stage,alternative_fixed_model,eligible_pairs,excluded_same_hash_pairs,mean_delta_squared_error,median_delta_squared_error,squared_error_improvement_share,hac_bw_sq,hac_se_sq,hac_z_sq,hac_p_sq,mean_delta_abs_error,median_delta_abs_error,abs_error_improvement_share,hac_bw_abs,hac_se_abs,hac_z_abs,hac_p_abs,primary_mean_delta_squared_error,primary_mean_delta_abs_error,sq_sign_concordant_with_primary,abs_sign_concordant_with_primary
GDP,GDPC1,1,early_quarter,after_month_1,Bridge–DFM Ensemble,12,0,1.1599011501128376,0.51358373758941245,0.16666666666666666,2,0.34032749851733513,3.4081910958298778,0.00065395080400065808,0.50226911252586426,0.18548647281322594,0.16666666666666666,2,0.1562264979663007,3.2150058988981991,0.001304418416808506,0.28481210211484792,0.12964880383284949,1,1
GDP,GDPC1,2,after_month_1,after_month_2,Bridge–DFM Ensemble,12,0,-0.5728848673731316,-0.61331975291743701,0.83333333333333337,2,0.27307341367888088,-2.0979152076914098,0.035912636357904315,-0.30548360090552112,-0.30130397820066945,0.83333333333333337,2,0.068939156503517604,-4.4312059560800385,9.3707532247133685e-06,0.062838162336303405,-0.039523687929161701,0,1
GDP,GDPC1,3,after_month_2,quarter_end,Bridge–DFM Ensemble,12,0,0.3598393148250783,0.10695010550576953,0.33333333333333331,2,0.27967391147418369,1.2866388320896158,0.19822020218808989,0.11454964692668869,0.16141994472151322,0.33333333333333331,2,0.073250897054651432,1.5637985544562665,0.11786488388753225,0.053945535003365498,0.041265990495998398,1,1
GDP,GDPC1,4,quarter_end,pre_advance_release,Bridge–DFM Ensemble,12,0,-0.34450803473905545,-0.42382410109117252,0.66666666666666663,2,0.16973858235555467,-2.0296389303959654,0.042393254670540781,-0.047966994340871004,-0.19093573320257007,0.66666666666666663,2,0.059373086453525119,-0.80789120468611064,0.41915321492705271,-0.080737630495318902,-0.028326689587944199,1,1
Inflation,CPIAUCSL,1,month_open,mid_month,Inflation Ridge-AR Ensemble,39,0,-1.5236705225024514,-0.18744924564954601,0.53846153846153844,3,1.010029485243964,-1.5085406364492635,0.13141621445783858,-0.17929751989538639,-0.038466007557328652,0.53846153846153844,3,0.13919448723075331,-1.2881079090305583,0.1977084025789333,-1.7822927497831085,-0.1147457061830298,1,1
Inflation,CPIAUCSL,2,mid_month,month_end,Inflation Ridge-AR Ensemble,40,0,-0.014963674920762809,0,0.125,3,0.0530723795445492,-0.28194844567318167,0.77798304149420883,-0.00046443469949268844,0,0.125,3,0.020816746418843561,-0.022310628671168169,0.98220017053988684,-0.0047872315163182003,-0.016967908475822299,1,1
Inflation,CPIAUCSL,3,month_end,pre_release,Inflation Ridge-AR Ensemble,40,0,0.035502316902303134,0,0.40000000000000002,3,0.03265990150262689,1.0870307401094772,0.27702322456510231,0.01824876994536135,0,0.40000000000000002,3,0.011924937372748846,1.5303032104020839,0.12594169400490229,0.053200548390757198,0.035633292062741399,1,1
Inflation,CPILFESL,1,month_open,mid_month,Inflation AR(1),39,0,-0.64574238714920518,0,0.46153846153846156,3,0.27412908822140092,-2.3556142521718453,0.018492109416550662,-0.11381220973018831,0,0.46153846153846156,3,0.11385108746550916,-0.99965852117721199,0.31747579183489982,-0.63570171431411227,-0.16555189131094419,1,1
Inflation,CPILFESL,2,mid_month,month_end,Inflation AR(1),40,0,0,0,0,3,0,,,0,0,0,3,0,,,-0.0098155659070089992,-0.0023543722958783001,0,0
Inflation,CPILFESL,3,month_end,pre_release,Inflation AR(1),40,0,0.021975358736804486,0,0,3,0.020811430482461774,1.0559273546969095,0.29100140549698938,0.0074874153616749208,0,0,3,0.0070908432558072021,1.0559273546969097,0.29100140549698938,0.017520310528607402,0.0097504569338040994,1,1
Inflation,PCEPI,1,month_open,mid_month,Inflation Ridge-AR Ensemble,38,0,-0.097663751502066701,-0.0057812414239784317,0.55263157894736847,3,0.1373470235313507,-0.71107293766562085,0.47703903895414124,0.0044650845873052238,-0.014081415691596488,0.55263157894736847,3,0.040551638959834782,0.11010860970940682,0.91232324011798283,-0.1385073616260237,-0.0091704319125282003,1,0
Inflation,PCEPI,2,mid_month,month_end,Inflation Ridge-AR Ensemble,39,0,-0.46354923474689913,-0.13540739274802804,0.58974358974358976,3,0.2927488490212905,-1.5834365747179657,0.11332199219802241,-0.13332450119373296,-0.067567085679962169,0.58974358974358976,3,0.079433375675606419,-1.6784443574223704,0.093260384345032588,-0.21957079586974171,-0.097878732763305096,1,1
Inflation,PCEPI,3,month_end,pre_release,Inflation Ridge-AR Ensemble,40,0,-0.025974896433687961,0.023523574932787492,0.42499999999999999,3,0.093176742849053751,-0.27877016988850184,0.78042120826258832,0.031094520946638737,0.034663675822126705,0.42499999999999999,3,0.023578494594214301,1.3187661672967332,0.18724729828626829,0.20165336388926969,0.065754538077053407,0,1
